dialogue_id,split,turn_id,role,text,act,issue,value
0,train,24,Candidate,"I want a salary of 120,000",Offer,Salary,"120,000 USD"
0,train,25,Employer,"120,000 is for project manager. I do not need a project manager.",Reject,Salary,"120,000 USD"
0,train,26,Candidate,"I am expecting a salary of 90,000",Offer,Salary,"90,000 USD"
0,train,27,Employer,"90,000 is for team leader",Offer,Job Description,Team Manager
0,train,27,Employer,"90,000 is for team leader",Offer,Salary,"90,000 USD"
0,train,28,Candidate,I agree. Now let's talk about how we can agree on other issues. I want a company car,Accept,,True
0,train,28,Candidate,I agree. Now let's talk about how we can agree on other issues. I want a company car,Offer,Leased Car,With leased car
0,train,29,Employer,a team manger works 10 hour days,Offer,Working Hours,10 hours
0,train,30,Candidate,I reject a workday of 10 hours. I am expecting a workday of 8 hours,Reject,Working Hours,10 hours
0,train,30,Candidate,I reject a workday of 10 hours. I am expecting a workday of 8 hours,Offer,Working Hours,8 hours
0,train,31,Employer,9 hours,Offer,Working Hours,9 hours
0,train,32,Candidate,I reject a workday of 9 hours. I am expecting a workday of 8 hours,Reject,Working Hours,9 hours
0,train,32,Candidate,I reject a workday of 9 hours. I am expecting a workday of 8 hours,Offer,Working Hours,8 hours
0,train,33,Employer,8 hours is for programmer,Offer,Job Description,Programmer
0,train,33,Employer,8 hours is for programmer,Offer,Working Hours,8 hours
0,train,34,Candidate,I disagree. I would like a workday of 9 hours and I want a position of project manager,Reject,,True
0,train,34,Candidate,I disagree. I would like a workday of 9 hours and I want a position of project manager,Offer,Working Hours,9 hours
0,train,34,Candidate,I disagree. I would like a workday of 9 hours and I want a position of project manager,Offer,Job Description,Project Manager
0,train,35,Employer,9 hours and team manager,Offer,Job Description,Team Manager
0,train,35,Employer,9 hours and team manager,Offer,Working Hours,9 hours
0,train,36,Candidate,I disagree. I demand a workday of 8 hours and I would like a position of project manager,Reject,,True
0,train,36,Candidate,I disagree. I demand a workday of 8 hours and I would like a position of project manager,Offer,Working Hours,8 hours
0,train,36,Candidate,I disagree. I demand a workday of 8 hours and I would like a position of project manager,Offer,Job Description,Project Manager
0,train,37,Employer,no,Reject,,True
0,train,38,Candidate,I am expecting a company car,Offer,Leased Car,With leased car
0,train,39,Employer,Project manager gets company car. You are not a project manager. You are a team manager.,Reject,Leased Car,With leased car
0,train,40,Candidate,I agree with the offer. Let's proceed to another issue. I demand a fast promotion track,Accept,,True
0,train,40,Candidate,I agree with the offer. Let's proceed to another issue. I demand a fast promotion track,Offer,Promotion Possibilities,Fast promotion track
0,train,41,Employer,agree,Accept,,True
0,train,42,Candidate,I'm happy that you accept,Other,,
0,train,43,Candidate,I am willing to have a workday of 8 hours,Offer,Working Hours,8 hours
0,train,44,Employer,disagree,Reject,,True
0,train,45,Candidate,I would like a workday of 9 hours,Offer,Working Hours,9 hours
0,train,46,Employer,agree,Accept,,True
0,train,47,Candidate,I'm happy that you accept,Other,,
0,train,48,Candidate,I am willing to have a pension of 20%,Offer,Pension Fund,20%
0,train,49,Employer,10% is non negotiable,Offer,Pension Fund,10%
0,train,50,Candidate,I reject a pension of 10%,Reject,Pension Fund,10%
0,train,51,Employer,we have been quite generous in meeting your needs. you qualify for 10% pension. you do not qualify for 20%,Offer,Pension Fund,10%
0,train,51,Employer,we have been quite generous in meeting your needs. you qualify for 10% pension. you do not qualify for 20%,Reject,Pension Fund,20%
0,train,52,Candidate,I reject 10%. I am willing to have a pension of 20%,Reject,Pension Fund,10%
0,train,52,Candidate,I reject 10%. I am willing to have a pension of 20%,Offer,Pension Fund,20%
0,train,53,Employer,10% pension,Offer,Pension Fund,10%
0,train,54,Candidate,I accept the previous offer,Accept,,True
1,train,0,Candidate,Hello. I would like to discuss the issues of my contract.,Greet,,True
1,train,1,Candidate,I am expecting a position of project manager,Offer,Job Description,Project Manager
1,train,2,Candidate,I am willing to have a position of project manager,Offer,Job Description,Project Manager
1,train,3,Candidate,I would like a position of project manager,Offer,Job Description,Project Manager
1,train,4,Employer,"Hi, could the position of a programmer be of an interest to you?",Greet,,True
1,train,4,Employer,"Hi, could the position of a programmer be of an interest to you?",Offer,Job Description,Programmer
1,train,5,Candidate,"I accept programmer position. Now let's talk about how we can agree on other issues. I am expecting a salary of 120,000",Accept,Job Description,Programmer
1,train,5,Candidate,"I accept programmer position. Now let's talk about how we can agree on other issues. I am expecting a salary of 120,000",Offer,Salary,"120,000 USD"
1,train,6,Candidate,"I am expecting a salary of 120,000",Offer,Salary,"120,000 USD"
1,train,7,Employer,"120,000 is something we cannot pay.",Reject,Salary,"120,000 USD"
1,train,8,Candidate,"I would like a salary of 90,000",Offer,Salary,"90,000 USD"
1,train,9,Employer,Can you start with a lower salary and have a promotion later for the bigger salary which you expect?,Other,,
1,train,10,Employer,"90,000 is fine for a fast worker. Are you a fast worker?",Accept,Salary,"90,000 USD"
1,train,11,Candidate,"It's good to reach an agreement on 90,000 usd",Other,,
1,train,12,Candidate,I am expecting a company car,Offer,Leased Car,With leased car
1,train,13,Candidate,I am willing to have a company car,Offer,Leased Car,With leased car
1,train,14,Employer,"We can give you a company car for a 60,000 salary and if you can prove your experience. Is that fine?",Offer,Leased Car,With leased car
1,train,14,Employer,"We can give you a company car for a 60,000 salary and if you can prove your experience. Is that fine?",Offer,Salary,"60,000 USD"
1,train,15,Candidate,I agree. Let's proceed to another issue. I want a fast promotion track,Accept,,True
1,train,15,Candidate,I agree. Let's proceed to another issue. I want a fast promotion track,Offer,Promotion Possibilities,Fast promotion track
1,train,16,Employer,You will have fast promotion if you prove your experience to be correct. If not it will be slower ok?,Accept,Promotion Possibilities,Fast promotion track
1,train,17,Candidate,It's great that we agreed on fast promotion track,Other,,
1,train,18,Candidate,I would like a workday of 8 hours,Offer,Working Hours,8 hours
1,train,19,Candidate,I want a workday of 8 hours,Offer,Working Hours,8 hours
1,train,20,Employer,All our workers work for 9 hours at least. But 9 hours is fine. Less is not ok. This is something we can't really negotiate about. ,Offer,Working Hours,9 hours
1,train,21,Candidate,I reject a workday of 9 hours. I want a workday of 8 hours,Reject,Working Hours,9 hours
1,train,21,Candidate,I reject a workday of 9 hours. I want a workday of 8 hours,Offer,Working Hours,8 hours
1,train,22,Candidate,I want a workday of 8 hours,Offer,Working Hours,8 hours
1,train,23,Employer,"We can give you a better pension fund, but working hours are not negotiatable. We need 9 hours, and you can work 8 hours at the office and 1 hour at home.",Reject,,
1,train,23,Employer,"We can give you a better pension fund, but working hours are not negotiatable. We need 9 hours, and you can work 8 hours at the office and 1 hour at home.",Offer,Working Hours,9 hours
1,train,24,Candidate,I reject a workday of 9 hours. I want a workday of 8 hours,Reject,Working Hours,9 hours
1,train,24,Candidate,I reject a workday of 9 hours. I want a workday of 8 hours,Offer,Working Hours,8 hours
1,train,25,Employer,I am opting out.,Quit,,True
1,train,26,Candidate,I am opting out. Please press the button Opt out.,Other,,
10,train,0,Candidate,Hello. I would like to discuss the issues of my contract.,Greet,,True
10,train,1,Candidate,I would like a position of project manager,Offer,Job Description,Project Manager
10,train,2,Employer,hi there,Greet,,True
10,train,3,Employer,no for that,Reject,,True
10,train,4,Candidate,I want a position of programmer,Offer,Job Description,Programmer
10,train,5,Employer,lets go for a programer,Accept,Job Description,Programmer
10,train,6,Candidate,It's great that we agreed on programmer,Other,,
10,train,7,Candidate,"I am expecting a salary of 120,000",Offer,Salary,"120,000 USD"
10,train,8,Employer,"i say the salary will be 60,000 usd but 10% pension",Offer,Pension Fund,10%
10,train,8,Employer,"i say the salary will be 60,000 usd but 10% pension",Offer,Salary,"60,000 USD"
10,train,9,Candidate,"I disagree. I would like a salary of 120,000 and I would like a pension of 20%",Reject,,True
10,train,9,Candidate,"I disagree. I would like a salary of 120,000 and I would like a pension of 20%",Offer,Salary,"120,000 USD"
10,train,9,Candidate,"I disagree. I would like a salary of 120,000 and I would like a pension of 20%",Offer,Pension Fund,20%
10,train,10,Employer,how about 10 working hour?,Offer,Working Hours,10 hours
10,train,11,Candidate,I disagree about a workday of 10 hours. I am willing to have a workday of 8 hours,Reject,Working Hours,10 hours
10,train,11,Candidate,I disagree about a workday of 10 hours. I am willing to have a workday of 8 hours,Offer,Working Hours,8 hours
10,train,12,Employer,i disagree.,Reject,,True
10,train,13,Candidate,"I am willing to have a salary of 120,000",Offer,Salary,"120,000 USD"
10,train,14,Employer,lets say a fast promotion track and 10% pension fund,Offer,Pension Fund,10%
10,train,14,Employer,lets say a fast promotion track and 10% pension fund,Offer,Promotion Possibilities,Fast promotion track
10,train,15,Candidate,"I agree. Now let's talk about how we can agree on other issues. I am willing to have a salary of 120,000",Accept,,True
10,train,15,Candidate,"I agree. Now let's talk about how we can agree on other issues. I am willing to have a salary of 120,000",Offer,Salary,"120,000 USD"
10,train,16,Employer,not possible,Reject,,True
10,train,17,Candidate,What do you have to offer?,Query,,
10,train,18,Employer,u can have 90k,Offer,Salary,"90,000 USD"
10,train,19,Candidate,"I disagree about a salary of 90,000. I am willing to have a salary of 120,000",Reject,Salary,"90,000 USD"
10,train,19,Candidate,"I disagree about a salary of 90,000. I am willing to have a salary of 120,000",Offer,Salary,"120,000 USD"
10,train,20,Employer,no. then 60k will be perfect for u,Offer,Salary,"60,000 USD"
10,train,20,Employer,no. then 60k will be perfect for u,Reject,,True
10,train,21,Candidate,"I disagree about a salary of 60,000. I would like a salary of 120,000",Reject,Salary,"60,000 USD"
10,train,21,Candidate,"I disagree about a salary of 60,000. I would like a salary of 120,000",Offer,Salary,"120,000 USD"
10,train,22,Employer,and no car,Offer,Leased Car,Without leased car
10,train,23,Candidate,I disagree about no company car. I am willing to have a company car,Reject,Leased Car,Without leased car
10,train,23,Candidate,I disagree about no company car. I am willing to have a company car,Offer,Leased Car,With leased car
10,train,24,Employer,lets say 10 hours a day and no leased car. but 20% pension,Offer,Leased Car,Without leased car
10,train,24,Employer,lets say 10 hours a day and no leased car. but 20% pension,Offer,Pension Fund,20%
10,train,24,Employer,lets say 10 hours a day and no leased car. but 20% pension,Offer,Working Hours,10 hours
10,train,25,Candidate,"I disagree. I would like a workday of 8 hours, I am willing to have a company car and I would like a pension of 10%",Reject,,True
10,train,25,Candidate,"I disagree. I would like a workday of 8 hours, I am willing to have a company car and I would like a pension of 10%",Offer,Working Hours,8 hours
10,train,25,Candidate,"I disagree. I would like a workday of 8 hours, I am willing to have a company car and I would like a pension of 10%",Offer,Leased Car,With leased car
10,train,25,Candidate,"I disagree. I would like a workday of 8 hours, I am willing to have a company car and I would like a pension of 10%",Offer,Pension Fund,10%
10,train,26,Employer,and 90k,Offer,Salary,"90,000 USD"
10,train,27,Candidate,"I accept 90,000. Now let's talk about how we can agree on other issues. I am willing to have a company car",Accept,Salary,"90,000 USD"
10,train,27,Candidate,"I accept 90,000. Now let's talk about how we can agree on other issues. I am willing to have a company car",Offer,Leased Car,With leased car
10,train,28,Employer,20% pension and 10 working hours,Offer,Pension Fund,20%
10,train,28,Employer,20% pension and 10 working hours,Offer,Working Hours,10 hours
10,train,29,Candidate,I disagree with the offer,Reject,,True
10,train,30,Employer,and 90k salary,Offer,Salary,"90,000 USD"
10,train,31,Candidate,"I accept 90,000. Now let's talk about how we can agree on other issues. I want a company car",Accept,Salary,"90,000 USD"
10,train,31,Candidate,"I accept 90,000. Now let's talk about how we can agree on other issues. I want a company car",Offer,Leased Car,With leased car
10,train,32,Employer,u can get a company car only if you agree for 10 hours a day,Offer,Leased Car,With leased car
10,train,32,Employer,u can get a company car only if you agree for 10 hours a day,Offer,Working Hours,10 hours
10,train,33,Candidate,I disagree with the offer,Reject,,True
10,train,34,Employer,what do you suggest?,Query,,
10,train,35,Candidate,I am sorry I cannot come up with the offer right now?,Other,,
10,train,36,Candidate,What do you have to offer?,Query,,
10,train,37,Employer,10 working hours with a car,Offer,Leased Car,With leased car
10,train,37,Employer,10 working hours with a car,Offer,Working Hours,10 hours
10,train,38,Candidate,I reject the previous offer. I am expecting a workday of 8 hours and I want no agreement on leased car,Reject,,True
10,train,38,Candidate,I reject the previous offer. I am expecting a workday of 8 hours and I want no agreement on leased car,Offer,Working Hours,8 hours
10,train,38,Candidate,I reject the previous offer. I am expecting a workday of 8 hours and I want no agreement on leased car,Offer,Leased Car,No agreement
10,train,39,Employer,i disagree,Reject,,True
10,train,40,Candidate,"I am expecting a company car. But I must change our previous agreement. I am expecting a position of programmer, I am expecting a fast promotion track and I am willing to have a salary of 120,000",Offer,Leased Car,With leased car
10,train,40,Candidate,"I am expecting a company car. But I must change our previous agreement. I am expecting a position of programmer, I am expecting a fast promotion track and I am willing to have a salary of 120,000",Offer,Job Description,Programmer
10,train,40,Candidate,"I am expecting a company car. But I must change our previous agreement. I am expecting a position of programmer, I am expecting a fast promotion track and I am willing to have a salary of 120,000",Offer,Promotion Possibilities,Fast promotion track
10,train,40,Candidate,"I am expecting a company car. But I must change our previous agreement. I am expecting a position of programmer, I am expecting a fast promotion track and I am willing to have a salary of 120,000",Offer,Salary,"120,000 USD"
10,train,41,Employer,"a company car, 90k salary, 20% fund.",Offer,Leased Car,With leased car
10,train,41,Employer,"a company car, 90k salary, 20% fund.",Offer,Pension Fund,20%
10,train,41,Employer,"a company car, 90k salary, 20% fund.",Offer,Salary,"90,000 USD"
10,train,42,Candidate,"I disagree with the offer. I would like a salary of 120,000, I want no agreement on leased car and I am willing to have a pension of 10%",Reject,,True
10,train,42,Candidate,"I disagree with the offer. I would like a salary of 120,000, I want no agreement on leased car and I am willing to have a pension of 10%",Offer,Salary,"120,000 USD"
10,train,42,Candidate,"I disagree with the offer. I would like a salary of 120,000, I want no agreement on leased car and I am willing to have a pension of 10%",Offer,Leased Car,No agreement
10,train,42,Candidate,"I disagree with the offer. I would like a salary of 120,000, I want no agreement on leased car and I am willing to have a pension of 10%",Offer,Pension Fund,10%
10,train,43,Employer,no agreement on leasd car it is. ok for 10% pension,Accept,Leased Car,No agreement
10,train,43,Employer,no agreement on leasd car it is. ok for 10% pension,Accept,Pension Fund,10%
10,train,44,Candidate,This is great that you accept,Other,,
10,train,45,Candidate,"Now let's talk about how we can agree on other issues. I am willing to have a salary of 120,000",Offer,Salary,"120,000 USD"
10,train,46,Employer,what do u have to offer for the salary?,Query,Offer,Salary
10,train,47,Candidate,"I want a salary of 120,000",Offer,Salary,"120,000 USD"
10,train,48,Employer,i suggest 60k,Offer,Salary,"60,000 USD"
10,train,49,Candidate,"I agree with a salary of 60,000. I would like to move on. I would like a workday of 8 hours",Accept,Salary,"60,000 USD"
10,train,49,Candidate,"I agree with a salary of 60,000. I would like to move on. I would like a workday of 8 hours",Offer,Working Hours,8 hours
10,train,50,Employer,lets settle for 90k and 10 working hours,Offer,Salary,"90,000 USD"
10,train,50,Employer,lets settle for 90k and 10 working hours,Offer,Working Hours,10 hours
10,train,51,Candidate,"I reject the previous offer. I am expecting a workday of 8 hours and I am expecting a salary of 120,000",Reject,,True
10,train,51,Candidate,"I reject the previous offer. I am expecting a workday of 8 hours and I am expecting a salary of 120,000",Offer,Working Hours,8 hours
10,train,51,Candidate,"I reject the previous offer. I am expecting a workday of 8 hours and I am expecting a salary of 120,000",Offer,Salary,"120,000 USD"
10,train,52,Employer,so 60k and ten hours,Offer,Salary,"60,000 USD"
10,train,52,Employer,so 60k and ten hours,Offer,Working Hours,10 hours
10,train,53,Candidate,"I refuse. I am willing to have a workday of 8 hours and I want a salary of 120,000",Reject,,True
10,train,53,Candidate,"I refuse. I am willing to have a workday of 8 hours and I want a salary of 120,000",Offer,Working Hours,8 hours
10,train,53,Candidate,"I refuse. I am willing to have a workday of 8 hours and I want a salary of 120,000",Offer,Salary,"120,000 USD"
10,train,54,Candidate,"Sorry, I changed my preferences",Other,,
10,train,55,Candidate,I want a workday of 8 hours,Offer,Working Hours,8 hours
10,train,56,Employer,"lets say 20% pension but 10 working hours plus 90,000 usd",Offer,Pension Fund,20%
10,train,56,Employer,"lets say 20% pension but 10 working hours plus 90,000 usd",Offer,Salary,"90,000 USD"
10,train,56,Employer,"lets say 20% pension but 10 working hours plus 90,000 usd",Offer,Working Hours,10 hours
10,train,57,Candidate,"I refuse. I am expecting a workday of 8 hours, I would like a pension of 10% and I am expecting a salary of 120,000",Reject,,True
10,train,57,Candidate,"I refuse. I am expecting a workday of 8 hours, I would like a pension of 10% and I am expecting a salary of 120,000",Offer,Working Hours,8 hours
10,train,57,Candidate,"I refuse. I am expecting a workday of 8 hours, I would like a pension of 10% and I am expecting a salary of 120,000",Offer,Pension Fund,10%
10,train,57,Candidate,"I refuse. I am expecting a workday of 8 hours, I would like a pension of 10% and I am expecting a salary of 120,000",Offer,Salary,"120,000 USD"
10,train,58,Employer,"i agree for 120,000",Accept,Salary,"120,000 USD"
10,train,59,Candidate,This is great that you accept,Other,,
10,train,60,Candidate,I would like to move on. I would like a workday of 8 hours,Offer,Working Hours,8 hours
10,train,61,Employer,but 10 working hours,Offer,Working Hours,10 hours
10,train,62,Candidate,I agree with the offer,Accept,,True
100,test,0,Candidate,Hello. I would like to discuss the issues of my contract.,Greet,,True
100,test,1,Candidate,I would like a position of project manager,Offer,Job Description,Project Manager
100,test,2,Employer,ok,Accept,,True
100,test,3,Candidate,It's great that you agree,Other,,
100,test,4,Candidate,"I would like a salary of 120,000",Offer,Salary,"120,000 USD"
100,test,5,Employer,I can't do that,Reject,,True
100,test,6,Candidate,"I am willing to have a salary of 90,000",Offer,Salary,"90,000 USD"
100,test,7,Employer,Similar positions at entry level do not pay this amount,Reject,,
100,test,8,Candidate,"I want a salary of 120,000",Offer,Salary,"120,000 USD"
100,test,9,Employer,"You will never get 120,000. ",Reject,Salary,"120,000 USD"
100,test,10,Candidate,"I would like a salary of 120,000",Offer,Salary,"120,000 USD"
100,test,11,Employer,"I can make you an offer to start out at 60,000",Offer,Salary,"60,000 USD"
100,test,12,Candidate,"I accept 60,000. Now let's talk about how we can agree on other issues. I am expecting a company car",Accept,Salary,"60,000 USD"
100,test,12,Candidate,"I accept 60,000. Now let's talk about how we can agree on other issues. I am expecting a company car",Offer,Leased Car,With leased car
100,test,13,Candidate,I am willing to have a company car,Offer,Leased Car,With leased car
100,test,14,Employer,company cars are only given out to those who are working outside of the office on a regular basis,Reject,Leased Car,With leased car
100,test,15,Candidate,I am expecting a company car,Offer,Leased Car,With leased car
100,test,16,Employer,a company car will not be an option for you,Reject,Leased Car,With leased car
100,test,17,Candidate,I am expecting a company car,Offer,Leased Car,With leased car
100,test,18,Candidate,I am expecting a company car,Offer,Leased Car,With leased car
100,test,19,Employer,There is no option for you to have a company car,Reject,Leased Car,With leased car
100,test,20,Candidate,I am willing to have a company car,Offer,Leased Car,With leased car
100,test,21,Employer,I can offer you 0% pension and a company car,Offer,Leased Car,With leased car
100,test,21,Employer,I can offer you 0% pension and a company car,Offer,Pension Fund,0%
100,test,22,Candidate,I reject the previous offer. I am expecting a pension of 20% and I want no agreement on leased car,Reject,,True
100,test,22,Candidate,I reject the previous offer. I am expecting a pension of 20% and I want no agreement on leased car,Offer,Pension Fund,20%
100,test,22,Candidate,I reject the previous offer. I am expecting a pension of 20% and I want no agreement on leased car,Offer,Leased Car,No agreement
100,test,23,Employer,too bad for you,Reject,,True
100,test,24,Candidate,I am expecting no company car,Offer,Leased Car,Without leased car
100,test,25,Employer,sure no car,Accept,Leased Car,Without leased car
100,test,26,Candidate,I'm happy that you accept no leased car,Other,,
100,test,27,Candidate,I am expecting a fast promotion track,Offer,Promotion Possibilities,Fast promotion track
100,test,28,Employer,I can offer you no pension on fast promotion track,Offer,Pension Fund,0%
100,test,28,Employer,I can offer you no pension on fast promotion track,Offer,Promotion Possibilities,Fast promotion track
100,test,29,Candidate,I reject the previous offer,Reject,,True
100,test,30,Employer,working hours will be 10 hours,Offer,Working Hours,10 hours
100,test,31,Candidate,I reject 10 hours. I would like a workday of 8 hours,Reject,Working Hours,10 hours
100,test,31,Candidate,I reject 10 hours. I would like a workday of 8 hours,Offer,Working Hours,8 hours
100,test,32,Employer,I can offer you slow track with 10 hours and 20% pension,Offer,Pension Fund,20%
100,test,32,Employer,I can offer you slow track with 10 hours and 20% pension,Offer,Promotion Possibilities,Slow promotion track
100,test,32,Employer,I can offer you slow track with 10 hours and 20% pension,Offer,Working Hours,10 hours
100,test,33,Candidate,I disagree,Reject,,True
100,test,34,Candidate,"Sorry, I changed my preferences",Other,,
100,test,35,Candidate,I want a fast promotion track,Offer,Promotion Possibilities,Fast promotion track
100,test,36,Employer,you will be offered less from me for every time you think you are owed something more,Other,,
100,test,37,Employer,no agreement on promotion ,Offer,Promotion Possibilities,No agreement
100,test,38,Candidate,I reject no agreement on promotion track. I am willing to have a fast promotion track,Reject,Promotion Possibilities,No agreement
100,test,38,Candidate,I reject no agreement on promotion track. I am willing to have a fast promotion track,Offer,Promotion Possibilities,Fast promotion track
100,test,39,Employer,wanna try me again?,Other,,
100,test,40,Employer,then take yourself to your imaginary other job and promote yourself there- I am done with your nonsense ,Reject,,True
100,test,41,Candidate,What are you willing to offer?,Query,,
100,test,42,Employer,I am willing to not offer you anything,Quit,,True
101,test,0,Candidate,Hello. I would like to discuss the issues of my contract.,Greet,,True
101,test,1,Candidate,"I am willing to have a salary of 120,000",Offer,Salary,"120,000 USD"
101,test,2,Employer,"i offer 90,000",Offer,Salary,"90,000 USD"
101,test,3,Candidate,I accept the offer about the wage. I would like to continue and discuss another issue. I am willing to have a position of project manager,Accept,,
101,test,3,Candidate,I accept the offer about the wage. I would like to continue and discuss another issue. I am willing to have a position of project manager,Offer,Job Description,Project Manager
101,test,4,Employer,thats fine,Accept,,True
101,test,5,Candidate,It's great that you agree,Other,,
101,test,6,Candidate,I am willing to have a pension of 20%,Offer,Pension Fund,20%
101,test,7,Employer,no pension is what i am offering,Offer,Pension Fund,0%
101,test,8,Candidate,I reject the offer about the pension fund. I want a pension of 20%,Reject,,
101,test,8,Candidate,I reject the offer about the pension fund. I want a pension of 20%,Offer,Pension Fund,20%
101,test,9,Employer,best i can offer is 10%,Offer,Pension Fund,10%
101,test,10,Candidate,I agree with a pension of 10%. I would like to move on. I demand a workday of 8 hours,Accept,Pension Fund,10%
101,test,10,Candidate,I agree with a pension of 10%. I would like to move on. I demand a workday of 8 hours,Offer,Working Hours,8 hours
101,test,11,Employer,I was thinking 10 hours,Offer,Working Hours,10 hours
101,test,12,Candidate,I reject a workday of 10 hours. I would like a workday of 8 hours,Reject,Working Hours,10 hours
101,test,12,Candidate,I reject a workday of 10 hours. I would like a workday of 8 hours,Offer,Working Hours,8 hours
101,test,13,Employer,how about 9,Offer,Working Hours,9 hours
101,test,14,Candidate,I refuse. I am willing to have a workday of 8 hours,Reject,,True
101,test,14,Candidate,I refuse. I am willing to have a workday of 8 hours,Offer,Working Hours,8 hours
101,test,15,Employer,"i can do 8 hours, but no leased car",Offer,Leased Car,Without leased car
101,test,15,Employer,"i can do 8 hours, but no leased car",Offer,Working Hours,8 hours
101,test,16,Candidate,I refuse,Reject,,True
101,test,17,Employer,that is the best i can offer,Other,,
101,test,18,Employer,9 hours and a leased car,Offer,Leased Car,With leased car
101,test,18,Employer,9 hours and a leased car,Offer,Working Hours,9 hours
101,test,19,Candidate,I reject the previous offer,Reject,,True
101,test,20,Employer,fine 8 hours and a leased car,Offer,Leased Car,With leased car
101,test,20,Employer,fine 8 hours and a leased car,Offer,Working Hours,8 hours
101,test,21,Candidate,I accept. Let's discuss another issue. I am willing to have a company car,Accept,,True
101,test,21,Candidate,I accept. Let's discuss another issue. I am willing to have a company car,Offer,Leased Car,With leased car
101,test,22,Employer,ok company car as well,Accept,Leased Car,With leased car
101,test,23,Candidate,I'm happy that you accept,Other,,
101,test,24,Candidate,I want a fast promotion track,Offer,Promotion Possibilities,Fast promotion track
101,test,25,Employer,fast will work for me,Accept,Promotion Possibilities,Fast promotion track
102,test,0,Candidate,Hello. I would like to discuss the issues of my contract.,Greet,,True
102,test,1,Candidate,I want a position of project manager,Offer,Job Description,Project Manager
102,test,2,Employer,What we are really in need of right now is a Programmer.,Offer,Job Description,Programmer
